cui,entrega,texto
0200182,2021,"Banco largo comedor 10, Mesa usos múltiples 4"
0200183,2021,"Banco largo comedor 4, Mesa usos múltiples 3"
0200184,2022,"Mesa pupitre doble 13, Silla escolar 26"
0200186,2021,"Armario 5, Banco largo comedor 24, Escritorio 4, Mesa usos múltiples 12, Pizarrón 2, Silla escolar 28"
0200188,2021,"Escritorio 4, Juego de patio 1, Mesa pupitre doble 60, Silla escolar 124"
0200188,2023,Estación movil cooperadoras 1
0200189,2021,"Banco largo comedor 12, Mesa usos múltiples 10"
0200189,2023,"Escritorio 1, Estación movil cooperadoras 1, Mesa pupitre doble 30, Silla escolar 60"
0200190,2021,"Armario 35, Banco largo comedor 16, Mesa pupitre doble 20, Mesa usos múltiples 8, Silla escolar 40"
0200190,2023,Pizarrón 16
0200191,2023,"Escritorio 5, Mesa pupitre doble 75, Mesa usos múltiples 4, Pizarrón 5, Silla escolar 150"
0200193,2022,"Escritorio 9, Mesa pupitre doble 135, Pizarrón 9, Silla escolar 279"
0200193,2023,"Escritorio 7, Mesa pupitre doble 105, Pizarrón 7, Silla escolar 217"
0200194,2021,"Escritorio 1, Mesa pupitre doble 15, Pizarrón 1, Silla escolar 31"
0200195,2022,"Escritorio 9, Mesa pupitre doble 120, Pizarrón 8, Silla escolar 278"
0200195,2023,"Escritorio 6, Mesa pupitre doble 90, Pizarrón 6, Silla escolar 186"
0200196,2021,"Escritorio 2, Mesa pupitre doble 30, Pizarrón 2, Silla escolar 62"
0200196,2022,"Escritorio 1, Mesa pupitre doble 23, Pizarrón 1, Silla escolar 46"
0200196,2023,"Escritorio 1, Mesa pupitre doble 15, Pizarrón 1, Silla escolar 31"
0200197,2021,"Armario 7, Escritorio 3, Mesa pupitre doble 45, Pizarrón 3, Silla escolar 93"
0200197,2022,"Armario 12, Escritorio 3, Mesa pupitre doble 45, Pizarrón 3, Silla escolar 93"
0200197,2023,"Armario 2, Escritorio 3, Locker 70, Mesa pupitre doble 45, Pizarrón 3, Silla escolar 93"
0200198,2021,"Mesa pupitre doble 30, Mesa trabajo estante 48, Silla escolar 60, Varios 88"
0200199,2021,"Escritorio 8, Mesa pupitre doble 120, Pizarrón 6, Silla escolar 248"
0200199,2022,"Escritorio 4, Mesa pupitre doble 67, Piso antigolpe para juegos 100, Pizarrón 4, Silla escolar 132"
0200199,2023,"Armario 4, Escritorio 10, Mesa pupitre doble 70, Pizarrón 12, Silla escolar 170"
0200202,2021,"Armario 11, Biblioteca 2, Escritorio 1, Mesa pupitre doble 18, Pizarrón 6, Silla escolar 37"
0200224,2021,"Escritorio 2, Mesa pupitre doble 30, Silla escolar 62"
0200224,2023,"Armario 4, Escritorio 10, Estación movil cooperadoras 1, Mesa pupitre doble 105, Pizarrón 8, Silla escolar 210"
0200225,2021,Banco largo comedor 10
0200225,2022,Escritorio 3
0200226,2021,"Armario 8, Escritorio 4, Mesa integradora con escotadura 1, Mesa pupitre doble 60, Pizarrón 4, Silla escolar 125"
0200226,2022,Escritorio 1
0200227,2022,"Escritorio 1, Mesa inicial 9, Mesa integradora con escotadura 1, Mesa pupitre doble 11, Pizarrón 6, Silla escolar 98"
0200228,2021,"Escritorio 3, Mesa pupitre doble 45, Pizarrón 18, Silla escolar 93"
0200228,2022,"Armario 2, Escritorio 3, Pizarrón 2"
0200229,2021,"Escritorio 4, Mesa pupitre doble 60, Pizarrón 10, Silla escolar 124"
0200229,2023,"Mesa inicial 12, Silla escolar 72"
0200230,2021,Mesa pupitre doble 15
0200230,2022,"Armario 14, Escritorio 5, Mesa pupitre doble 105, Pizarrón 25, Silla escolar 263"
0200230,2023,Estación movil cooperadoras 1
0200231,2021,"Escritorio 2, Mesa pupitre doble 30, Pizarrón 7, Silla escolar 92"
0200231,2022,Silla escolar 37
0200231,2023,Armario 6
0200232,2021,"Banco largo comedor 8, Mesa usos múltiples 4"
0200232,2022,"Escritorio 2, Mesa pupitre doble 30, Silla escolar 62"
0200232,2023,Armario 4
0200233,2021,Pizarrón 15
0200233,2022,"Escritorio 4, Mesa pupitre doble 75, Silla escolar 154"
0200233,2023,Estación movil cooperadoras 1
0200235,2021,"Mesa pupitre doble 15, Pizarrón 7, Silla escolar 30"
0200235,2023,Estación movil cooperadoras 1
0200236,2021,"Armario 28, Escritorio 14, Mesa pupitre doble 90, Silla escolar 194"
0200236,2022,"Mesa inicial 10, Pizarrón 4, Silla escolar 60"
0200236,2023,"Armario 2, Mesa inicial 10, Silla escolar 60"
0200237,2022,"Escritorio 5, Mesa pupitre doble 48, Pizarrón 1, Silla escolar 62"
0200237,2023,"Mesa inicial 4, Pizarrón 6, Silla escolar 25"
0200238,2022,"Mesa pupitre doble 45, Silla escolar 90"
0200239,2022,"Escritorio 2, Mesa pupitre doble 30, Pizarrón 9, Silla escolar 62"
0200240,2022,"Mesa inicial 5, Silla escolar 30"
0200240,2023,Estación movil cooperadoras 1
0200241,2022,"Armario 5, Escritorio 4, Mesa pupitre doble 30, Pizarrón 10, Silla escolar 50"
0200241,2023,"Estación movil cooperadoras 1, Pizarrón 10"
0200242,2022,"Armario 1, Banco largo comedor 4, Biblioteca 6, Escritorio 3, Mesa usos múltiples 7, Pizarrón 20, Silla escolar 33"
0200243,2021,"Escritorio 7, Mesa pupitre doble 107, Pizarrón 21, Silla escolar 149"
0200243,2022,"Armario 4, Banco largo comedor 32, Mesa usos múltiples 16, Pizarrón 3"
0200243,2023,Estación movil cooperadoras 1
0200244,2021,Mesa integradora con escotadura 1
0200244,2022,"Armario 4, Escritorio 3, Mesa pupitre doble 39, Pizarrón 7, Silla escolar 88"
0200244,2023,Estación movil cooperadoras 1
0200245,2021,"Mesa pupitre doble 149, Pizarrón 2"
0200245,2023,"Escritorio 7, Pizarrón 15, Silla escolar 298"
0200246,2022,"Armario 6, Banco largo comedor 14, Escritorio 3, Mesa pupitre doble 90, Pizarrón 6, Silla escolar 45"
0200246,2023,"Banco largo comedor 6, Estación movil cooperadoras 1, Mesa pupitre doble 15, Silla escolar 30"
0200247,2021,"Armario 14, Escritorio 4, Mesa pupitre doble 60, Pizarrón 9, Silla escolar 124"
0200247,2023,"Escritorio 3, Mesa pupitre doble 45, Silla escolar 90"
0200248,2021,"Mesa inicial 44, Silla escolar 264"
0200248,2023,"Estación movil cooperadoras 1, Mesa inicial 20, Silla escolar 120"
0200249,2023,"Mesa inicial 10, Silla escolar 60"
0200250,2021,Armario 8
0200251,2022,"Mesa inicial 15, Silla escolar 89"
0200251,2023,Estación movil cooperadoras 1
0200252,2021,"Mesa inicial 24, Silla escolar 144"
0200253,2021,"Banco largo comedor 50, Mesa usos múltiples 25"
0200253,2022,"Escritorio 3, Mesa pupitre doble 45, Pizarrón 3, Silla escolar 98"
0200253,2023,"Escritorio 2, Mesa pupitre doble 30, Pizarrón 2, Silla escolar 62"
0200254,2021,"Escritorio 4, Mesa pupitre doble 60, Pizarrón 4, Silla escolar 124"
0200254,2022,"Escritorio 3, Mesa pupitre doble 45, Pizarrón 3, Silla escolar 93"
0200254,2023,"Escritorio 2, Mesa pupitre doble 30, Pizarrón 2, Silla escolar 62"
0200255,2021,"Armario 14, Mesa inicial 1, Mesa pupitre doble 3, Pizarrón 8, Silla escolar 13"
0200255,2023,"Mesa inicial 3, Silla escolar 18"
0200256,2021,"Escritorio 2, Mesa pupitre doble 30, Pizarrón 2, Silla escolar 62"
0200256,2022,"Banco largo comedor 30, Escritorio 2, Mesa pupitre doble 30, Mesa usos múltiples 15, Pizarrón 2, Silla escolar 62"
0200256,2023,"Escritorio 2, Mesa pupitre doble 30, Pizarrón 2, Silla escolar 62"
0200257,2021,"Escritorio 4, Mesa pupitre doble 60, Pizarrón 4, Silla escolar 124"
0200257,2022,"Armario 2, Escritorio 4, Mesa pupitre doble 120, Pizarrón 3, Silla escolar 203"
0200257,2023,"Escritorio 4, Mesa pupitre doble 60, Pizarrón 4, Silla escolar 124"
0200258,2021,"Escritorio 2, Pizarrón 10"
0200258,2023,"Armario 68, Banco largo comedor 10, Biblioteca 14, Escritorio 37, Locker 9, Mesa pupitre doble 210, Mesa usos múltiples 42, Pizarrón 59, Silla escolar 739, Varios 73, NA 93"
0200259,2021,"Escritorio 6, Mesa pupitre doble 90, Pizarrón 10, Silla escolar 186"
0200259,2022,"Escritorio 5, Mesa pupitre doble 75, Pizarrón 5, Silla escolar 155"
0200259,2023,"Escritorio 5, Mesa pupitre doble 75, Pizarrón 5, Silla escolar 155"
0200261,2022,"Armario 6, Mesa inicial 10, Silla escolar 60"
0200262,2021,"Escritorio 2, Mesa pupitre doble 30, Mesa trabajo estante 4, Pizarrón 2, Silla escolar 62, Varios 8"
0200262,2022,"Escritorio 2, Mesa pupitre doble 30, Pizarrón 2, Silla escolar 62"
0200262,2023,"Escritorio 2, Mesa pupitre doble 30, Silla escolar 62"
0200266,2021,"Armario 2, Escritorio 2, Mesa inicial 1, Mesa pupitre doble 30, Mesa usos múltiples 2, Silla escolar 68, Varios 4"
0200275,2021,"Mesa trabajo estante 3, Varios 6"
0200278,2021,"Mesa trabajo estante 3, Varios 6"
0200280,2021,Varios 2
0200280,2023,"Mesa inicial 20, Silla escolar 120"
0200281,2021,"Escritorio 2, Mesa integradora con escotadura 1, Mesa pupitre doble 30, Mesa trabajo estante 9, Silla escolar 60, Varios 18"
0200281,2023,"Escritorio 3, Mesa pupitre doble 45, Pizarrón 3, Silla escolar 93"
0200290,2021,Armario 6
0200294,2023,"Estación movil cooperadoras 1, Mesa integradora con escotadura 3"
0200295,2023,Estación movil cooperadoras 1
0200296,2023,"Armario 4, Mesa inicial 10, Mesa pupitre doble 90, Silla escolar 240"
0200297,2023,Estación movil cooperadoras 1
0200298,2021,"Banco largo comedor 14, Mesa usos múltiples 7"
0200298,2022,Pizarrón 6
0200299,2023,Estación movil cooperadoras 1
0200300,2022,"Banco largo comedor 10, Escritorio 5, Mesa pupitre doble 90, Mesa usos múltiples 1, Silla escolar 183"
0200300,2023,Pizarrón 1
0200301,2021,"Armario 14, Escritorio 4, Mesa pupitre doble 52, Pizarrón 7, Silla escolar 108"
0200301,2023,Estación movil cooperadoras 1
0200302,2021,"Escritorio 2, Mesa inicial 10, Mesa pupitre doble 30, Silla escolar 122"
0200303,2021,"Banco largo comedor 8, Mesa usos múltiples 4"
0200303,2022,Pizarrón 5
0200304,2021,"Banco largo comedor 16, Mesa usos múltiples 8"
0200304,2023,Pizarrón 7
0200305,2021,"Escritorio 2, Mesa integradora con escotadura 2, Mesa pupitre doble 30, Silla escolar 62"
0200305,2022,Pizarrón 3
0200305,2023,"Banco largo comedor 36, Escritorio 2, Estación movil cooperadoras 1, Mesa pupitre doble 30, Mesa usos múltiples 18, Silla escolar 60"
0200307,2021,"Escritorio 2, Mesa pupitre doble 30, Silla escolar 62"
0200307,2023,Estación movil cooperadoras 1
0200308,2022,"Banco largo comedor 12, Mesa usos múltiples 6"
0200308,2023,"Escritorio 2, Estación movil cooperadoras 1, Mesa pupitre doble 30, Silla escolar 60"
